year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes
2016,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,1318255,2123372
2016,ALABAMA,AL,"CLINTON, HILLARY",DEMOCRAT,729547,2123372
2016,ALABAMA,AL,"JOHNSON, GARY",LIBERTARIAN,44467,2123372
2016,ALABAMA,AL,"STEIN, JILL",GREEN,9391,2123372
2016,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,163387,318608
2016,ALASKA,AK,"CLINTON, HILLARY",DEMOCRAT,116454,318608
2016,ALASKA,AK,"JOHNSON, GARY",LIBERTARIAN,18725,318608
2016,ALASKA,AK,"STEIN, JILL",GREEN,5735,318608
2016,ALASKA,AK,"CASTLE, DARRELL L.",CONSTITUTION PARTY,3866,318608
2016,ALASKA,AK,"DE LA FUENTE, ROQUE """"ROCKY""""",NO PARTY AFFILIATION,1240,318608
2016,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,1252401,2573165
2016,ARIZONA,AZ,"CLINTON, HILLARY",DEMOCRAT,1161167,2573165
2016,ARIZONA,AZ,"JOHNSON, GARY",LIBERTARIAN,106327,2573165
2016,ARIZONA,AZ,"STEIN, JILL",GREEN,34345,2573165
2016,ARIZONA,AZ,"CASTLE, DARRELL L.",CONSTITUTION PARTY,1058,2573165
2016,ARIZONA,AZ,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,29,2573165
2016,ARIZONA,AZ,"TITTLE, SHEILA """"SAMM""""",WE THE PEOPLE,12,2573165
2016,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,684872,1130635
2016,ARKANSAS,AR,"CLINTON, HILLARY",DEMOCRAT,380494,1130635
2016,ARKANSAS,AR,"JOHNSON, GARY",LIBERTARIAN,29829,1130635
2016,ARKANSAS,AR,"MCMULLIN, EVAN",BETTER FOR AMERICA,13255,1130635
2016,ARKANSAS,AR,"STEIN, JILL",GREEN,9473,1130635
2016,ARKANSAS,AR,"HEDGES, JIM",PROHIBITION,4709,1130635
2016,ARKANSAS,AR,"CASTLE, DARRELL L.",CONSTITUTION PARTY,4613,1130635
2016,ARKANSAS,AR,"KAHN, LYNN S.",INDEPENDENT,3390,1130635
2016,CALIFORNIA,CA,"CLINTON, HILLARY",DEMOCRAT,8753788,14181595
2016,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,4483810,14181595
2016,CALIFORNIA,CA,"JOHNSON, GARY",LIBERTARIAN,478500,14181595
2016,CALIFORNIA,CA,"STEIN, JILL",GREEN,278657,14181595
2016,CALIFORNIA,CA,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,66101,14181595
2016,COLORADO,CO,"CLINTON, HILLARY",DEMOCRAT,1338870,2780220
2016,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,1202484,2780220
2016,COLORADO,CO,"JOHNSON, GARY",LIBERTARIAN,144121,2780220
2016,COLORADO,CO,"STEIN, JILL",GREEN,38437,2780220
2016,COLORADO,CO,SCATTERING,UNAFFILIATED,31485,2780220
2016,COLORADO,CO,"CASTLE, DARRELL L.",AMERICAN CONSTITUTION PARTY,11699,2780220
2016,COLORADO,CO,"KENISTON, CHRIS",VETERANS PARTY OF AMERICA,5028,2780220
2016,COLORADO,CO,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,1255,2780220
2016,COLORADO,CO,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN,1096,2780220
2016,COLORADO,CO,"MALDONADO, JOSEPH ALLEN",INDEPENDENT PEOPLE OF COLORADO,872,2780220
2016,COLORADO,CO,"MATUREN, MICHAEL A.",AMERICAN SOLIDARITY PARTY,862,2780220
2016,COLORADO,CO,"SILVA, ROD",NUTRITION PARTY,751,2780220
2016,COLORADO,CO,"HOEFLING, TOM",AMERICA'S PARTY,710,2780220
2016,COLORADO,CO,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,531,2780220
2016,COLORADO,CO,"KENNEDY, ALYSON",SOCIALIST WORKERS,452,2780220
2016,COLORADO,CO,"KOTLIKOFF, LAURENCE",KOTLIKOFF FOR PRESIDENT,392,2780220
2016,COLORADO,CO,"LYTTLE, BRADFORD",NONVIOLENT RESISTANCE/PACIFIST,382,2780220
2016,COLORADO,CO,"ATWOOD, FRANK",APPROVAL VOTING PARTY,337,2780220
2016,COLORADO,CO,"EMIDIO """"MIMI"""", SOLTYSIK",SOCIALIST PARTY USA,271,2780220
2016,COLORADO,CO,"HEDGES, JAMES",PROHIBITION,185,2780220
2016,CONNECTICUT,CT,"CLINTON, HILLARY",DEMOCRAT,897572,1644920
2016,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,673215,1644920
2016,CONNECTICUT,CT,"JOHNSON, GARY",LIBERTARIAN,48676,1644920
2016,CONNECTICUT,CT,"STEIN, JILL",GREEN,22841,1644920
2016,DELAWARE,DE,"CLINTON, HILLARY",DEMOCRAT,235603,441590
2016,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,185127,441590
2016,DELAWARE,DE,"JOHNSON, GARY",LIBERTARIAN,14757,441590
2016,DELAWARE,DE,"STEIN, JILL",GREEN,6103,441590
2016,DISTRICT OF COLUMBIA,DC,"CLINTON, HILLARY",DEMOCRAT,282830,312575
2016,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,12723,312575
2016,DISTRICT OF COLUMBIA,DC,"JOHNSON, GARY",LIBERTARIAN,4906,312575
2016,DISTRICT OF COLUMBIA,DC,"STEIN, JILL",GREEN,4258,312575
2016,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,4617886,9420039
2016,FLORIDA,FL,"CLINTON, HILLARY",DEMOCRAT,4504975,9420039
2016,FLORIDA,FL,"JOHNSON, GARY",LIBERTARIAN,207043,9420039
2016,FLORIDA,FL,"STEIN, JILL",GREEN,64399,9420039
2016,FLORIDA,FL,"CASTLE, DARRELL L.",CONSTITUTION PARTY,16475,9420039
