year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes
2020,ALABAMA,AL,"BIDEN, JOSEPH R. JR",DEMOCRAT,849624,2323282
2020,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,1441170,2323282
2020,ALABAMA,AL,"JORGENSEN, JO",LIBERTARIAN,25176,2323282
2020,ALASKA,AK,"BIDEN, JOSEPH R. JR",DEMOCRAT,153778,359530
2020,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,189951,359530
2020,ALASKA,AK,"JORGENSEN, JO",LIBERTARIAN,8897,359530
2020,ALASKA,AK,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,318,359530
2020,ALASKA,AK,"PIERCE, BROCK",INDEPENDENT,825,359530
2020,ALASKA,AK,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,2673,359530
2020,ALASKA,AK,"BLANKENSHIP, DON",CONSTITUTION PARTY,1127,359530
2020,ARIZONA,AZ,"BIDEN, JOSEPH R. JR",DEMOCRAT,1672143,3387326
2020,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,1661686,3387326
2020,ARIZONA,AZ,"JORGENSEN, JO",LIBERTARIAN,51465,3387326
2020,ARIZONA,AZ,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,190,3387326
2020,ARIZONA,AZ,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,36,3387326
2020,ARIZONA,AZ,"SIMMONS, JADE",INDEPENDENT,236,3387326
2020,ARIZONA,AZ,"BODDIE, R. PRESIDENT",INDEPENDENT,13,3387326
2020,ARIZONA,AZ,"HAWKINS, HOWIE",GREEN,1557,3387326
2020,ARKANSAS,AR,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,1713,1219069
2020,ARKANSAS,AR,"BLANKENSHIP, DON",CONSTITUTION PARTY,2108,1219069
2020,ARKANSAS,AR,"BIDEN, JOSEPH R. JR",DEMOCRAT,423932,1219069
2020,ARKANSAS,AR,"HAWKINS, HOWIE",GREEN,2980,1219069
2020,ARKANSAS,AR,"PIERCE, BROCK",INDEPENDENT,2141,1219069
2020,ARKANSAS,AR,"GAMMON, C. L.",INDEPENDENT,1475,1219069
2020,ARKANSAS,AR,"WEST, KANYE",INDEPENDENT,4099,1219069
2020,ARKANSAS,AR,"COLLINS, PHIL",INDEPENDENT,2812,1219069
2020,ARKANSAS,AR,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,1321,1219069
2020,ARKANSAS,AR,"JORGENSEN, JO",LIBERTARIAN,13133,1219069
2020,ARKANSAS,AR,"MYERS, JOHN RICHARD",LIFE AND LIBERTY PARTY,1372,1219069
2020,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,760647,1219069
2020,ARKANSAS,AR,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,1336,1219069
2020,CALIFORNIA,CA,"BIDEN, JOSEPH R. JR",DEMOCRAT,11110250,17500881
2020,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,6006429,17500881
2020,CALIFORNIA,CA,"JORGENSEN, JO",LIBERTARIAN,187895,17500881
2020,CALIFORNIA,CA,"HAWKINS, HOWIE",GREEN,81029,17500881
2020,CALIFORNIA,CA,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,60160,17500881
2020,CALIFORNIA,CA,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,51037,17500881
2020,CALIFORNIA,CA,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,2605,17500881
